"word","definition"
"carbone","To broil. [Obs.] """"We had a calf's head carboned""""."""
"feller","An appliance to a sewing machine for felling a seam."
"weedy","Abounding with weeds; as, weedy grounds; a weedy garden; weedy corn."""
"twelvemo","See Duodecimo."
"spodomantic","Relating to spodomancy, or divination by means of ashes."""
"explicator","One who unfolds or explains; an expounder; an explainer."
"martlemas","See Martinmas."
"hectostere","A measure of solidity, containing one hundred cubic meters, and equivalent to 3531.66 English or 3531.05 United States cubic feet."""
"repassant","Counterpassant."
"consultatory","Formed by, or resulting from, consultation; advisory."""
"stick","To cause to stick; to bring to a stand; to pose; to puzzle; as, to stick one with a hard problem."""
"moistened","of Moisten"
"downtrod","Alt. of Downtrodden"
"longipennes","A group of longwinged sea birds, including the gulls, petrels, etc."""
"ear","Same as Crossette."
"scudo","A gold coin of Rome, worth 64 shillings 11 pence sterling, or about $ 15.70."""
"extent","Space or degree to which a thing is extended; hence, superficies; compass; bulk; size; length; as, an extent of country or of line; extent of information or of charity."""
"locomotive","A locomotive engine; a self-propelling wheel carriage, especially one which bears a steam boiler and one or more steam engines which communicate motion to the wheels and thus propel the carriage, -- used to convey goods or passengers, or to draw wagons, railroad cars, etc. See Illustration in Appendix."""
"suprabranchial","Situated above the branchiae; -- applied especially to the upper division of the gill cavity of bivalve mollusks."
"livery stable () a stable where horses are kept for hire, and where stabling is provided. see livery, n., 3","(f) & (g)."""
"thought","A small degree or quantity; a trifle; as, a thought longer; a thought better."""
"puff","To drive with a puff, or with puffs."""
"lanifical","Working in wool."
"diminutiveness","The quality of being diminutive; smallness; littleness; minuteness."
"ferity","Wildness; savageness; fierceness."
"hegelian","Pertaining to Hegelianism."
"toe","To hold or carry the toes (in a certain way)."
"altimetry","The art of measuring altitudes, or heights."""
"taming","of Tame"
"interaction","Mutual or reciprocal action or influence; as, the interaction of the heart and lungs on each other."""
"flowed","of Flow"
"furial","Furious; raging; tormenting."
"underlayer","One who, or that which, underlays or is underlaid; a lower layer."""
"setous","Thickly set with bristles or bristly hairs."
"empaling","of Empale"
"scalp","A part of the skin of the head, with the hair attached, cut or torn off from an enemy by the Indian warriors of North America, as a token of victory."""
"unsinew","To deprive of sinews or of strength."
"shackle","Hence, that which checks or prevents free action."""
"boast","To dress, as a stone, with a broad chisel."""
"bedraggled","of Bedraggle"
"sound","The peceived object occasioned by the impulse or vibration of a material substance affecting the ear; a sensation or perception of the mind received through the ear, and produced by the impulse or vibration of the air or other medium with which the ear is in contact; the effect of an impression made on the organs of hearing by an impulse or vibration of the air caused by a collision of bodies, or by other means; noise; report; as, the sound of a drum; the sound of the human voice; a horrid sound; a charming sound; a sharp, high, or shrill sound."""
"metazoan","One of the Metazoa."
"supraoccipital","The supraoccipital bone."
"outpassion","To exceed in passion."
"inhumate","To inhume; to bury; to inter."
"expletively","In the manner of an expletive."
"threadiness","Quality of being thready."
"fit","To be suitable to; to answer the requirements of; to be correctly shaped and adjusted to; as, if the coat fits you, put it on."""
"forgettable","Liable to be, or that may be, forgotten."""
"monosymmetric","Alt. of Monosymmetrical"
"siaga","The ahu, or jairou."""
"lightermen","of Lighterman"
"paulician","One of a sect of Christian dualists originating in Armenia in the seventh century. They rejected the Old Testament and the part of the New."
"pardo","A money of account in Goa, India, equivalent to about 2s. 6d. sterling. or 60 cts."""
"note","Nut."
"inland","Into, or towards, the interior, away from the coast."""
"poking-stick","A small stick or rod of steel, formerly used in adjusting the plaits of ruffs."""
"suwarrow","The giant cactus (Cereus giganteus); -- so named by the Indians of Arizona. Called also saguaro."
"regather","To gather again."
"disarrangement","The act of disarranging, or the state of being disarranged; confusion; disorder."""
"fribble","To act in a trifling or foolish manner; to act frivolously."
"polype","See Polyp."
"winter","To keep, feed or manage, during the winter; as, to winter young cattle on straw."""
"sextile","Measured by sixty degrees; fixed or indicated by a distance of sixty degrees."
"dishonor","The nonpayment or nonacceptance of commercial paper by the party on whom it is drawn."
"friendly","Having the temper and disposition of a friend; disposed to promote the good of another; kind; favorable."
"equalitarian","One who believes in equalizing the condition of men; a leveler."
"cunningness","Quality of being cunning; craft."
"imparlance","Time given to a party to talk or converse with his opponent, originally with the object of effecting, if possible, an amicable adjustment of the suit. The actual object, however, has long been merely to obtain further time to plead, or answer to the allegations of the opposite party."""
"ochrey","See Ochery."
"going","Course of life; behavior; doings; ways."
"papyrus","The material upon which the ancient Egyptians wrote. It was formed by cutting the stem of the plant into thin longitudinal slices, which were gummed together and pressed."""
"productile","Capable of being extended or prolonged; extensible; ductile."
"fastidious","Difficult to please; delicate to a fault; suited with difficulty; squeamish; as, a fastidious mind or ear; a fastidious appetite."""
"retrograding","of Retrograde"
"below","In hell, or the regions of the dead."""
"laocoon","A marble group in the Vatican at Rome, representing the priest Laocoon, with his sons, infolded in the coils of two serpents, as described by Virgil."""
"brahmans","of Brahmin"
"ventose","A ventouse."
"tressured","Provided or bound with a tressure; arranged in the form of a tressure."
"alate","Lately; of late."
"bedell","Same as Beadle."
"byssus","A cloth of exceedingly fine texture, used by the ancients. It is disputed whether it was of cotton, linen, or silk."""
"hyperinosis","A condition of the blood, characterized by an abnormally large amount of fibrin, as in many inflammatory diseases."""
"polypodium","A genus of plants of the order Filices or ferns. The fructifications are in uncovered roundish points, called sori, scattered over the inferior surface of the frond or leaf. There are numerous species."""
"adulterous","Guilty of, or given to, adultery; pertaining to adultery; illicit."""
"incorruptible","Not corruptible; incapable of corruption, decay, or dissolution; as, gold is incorruptible."""
